Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
A,138.75,0.040654319153,N/A
AAL,13.44,0.008783584992,N/A
AAP,61.95,0.003686148281,N/A
AAPL,185.64,2.88721288128,N/A
ABBV,159.82,0.287676,N/A
ABC,179.98,0.036387430583,N/A
ABMD,381.02,0.017180642928,N/A
ABT,109.85,0.19070603018,N/A
ACN,346.92,0.220292729406,N/A
ADBE,580.07,0.264105871,N/A
ADI,193.58,0.096066335627,N/A
ADM,72.76,0.038808820114,N/A
ADP,233.42,0.096006762214,N/A
ADSK,234.12,0.050081855889,N/A
AEE,74.0,0.019457933552,N/A
AEP,83.18,0.043742335153,N/A
AES,19.34,0.012950625537,N/A
AFL,83.28,0.048667157156,N/A
AIG,68.84,0.048328457212,N/A
AIV,7.83,0.001141298232,N/A
AIZ,169.86,0.008933042713,N/A
AJG,225.0,0.0485775,N/A
AKAM,116.88,0.017629193668,N/A
ALB,146.89,0.017238022124,N/A
ALGN,268.92,0.020596344537,N/A
ALK,38.34,0.004909554972,N/A
ALL,143.81,0.037633216674,N/A
ALLE,124.25,0.010907605076,N/A
ALXN,182.5,0.040336009475,N/A
AMAT,154.37,0.128291828999,N/A
AMCR,9.75,0.014102765615,N/A
AMD,138.58,0.221728,N/A
AME,162.87,0.037590177266,N/A
AMGN,297.39,0.15915659345,N/A
AMP,379.03,0.038356392654,N/A
AMT,218.81,0.102009222,N/A
AMZN,149.93,1.549381205759,N/A
ANET,231.56,0.072038348882,N/A
ANSS,353.0,0.030666099459,N/A
ANTM,482.58,0.116342693132,N/A
AON,288.02,0.057666311687,N/A
AOS,81.44,0.012442038919,N/A
APA,36.11,0.011075638292,N/A
APD,273.47,0.060767146829,N/A
APH,96.83,0.057934379668,N/A
APTV,90.17,0.025505679975,N/A
ARE,129.31,0.022470904215,N/A
ATO,116.93,0.017363649908,N/A
ATVI,94.42,0.074289497374,N/A
AVB,188.17,0.026722983625,N/A
AVGO,1085.38,0.508110410781,N/A
AVY,199.67,0.016079680278,N/A
AWK,133.51,0.025995064149,N/A
AXP,188.31,0.137238438309,N/A
AZO,2568.5,0.044414255424,N/A
BA,251.76,0.152308958413,N/A
BAC,33.9,0.268275515275,N/A
BAX,38.85,0.019709518325,N/A
BBY,77.26,0.016641804,N/A
BDX,245.42,0.0712711951,N/A
BEN,29.29,0.014513984366,N/A
BF.B,56.85,0.027458342554,N/A
BIIB,267.71,0.038790673564,N/A
BIO,327.99,0.009547752165,N/A
BK,52.38,0.040284058302,N/A
BKNG,3480.56,0.121436296369,N/A
BKR,33.93,0.034141515989,N/A
BLK,800.3,0.119054605541,N/A
BLL,69.49,0.022222129619,N/A
BMY,52.76,0.107353818468,N/A
BR,199.89,0.02351645883,N/A
BRK.B,362.46,0.789525612356,N/A
BSX,57.84,0.084734603822,N/A
BWA,35.94,0.008447892118,N/A
BXP,72.1,0.011315386978,N/A
C,53.04,0.101512297726,N/A
CAG,29.53,0.014114391526,N/A
CAH,102.62,0.025292559808,N/A
CARR,56.45,0.047364179385,N/A
CAT,292.71,0.149014195124,N/A
CB,227.35,0.09275650331,N/A
CBOE,177.84,0.018772077084,N/A
CBRE,93.22,0.028412784909,N/A
CCI,116.62,0.050576795203,N/A
CCL,17.29,0.019355208009,N/A
CDNS,262.9,0.0715250998,N/A
CDW,220.67,0.029561034627,N/A
CE,154.72,0.016842071438,N/A
CERN,94.92,0.027915791082,N/A
CF,81.61,0.015592121047,N/A
CFG,33.51,0.015623131624,N/A
CHD,94.57,0.023300320395,N/A
CHRW,87.13,0.010163804854,N/A
CHTR,391.51,0.05791227078,N/A
CI,310.1,0.090741451457,N/A
CINF,105.88,0.016613389394,N/A
CL,80.72,0.066462608746,N/A
CLX,144.69,0.01795011089,N/A
CMA,56.5,0.007450813878,N/A
CMCSA,43.67,0.175362796783,N/A
CME,209.23,0.075320673805,N/A
CMG,2244.75,0.061606400535,N/A
CMI,241.18,0.034186026058,N/A
CMS,59.21,0.017275320802,N/A
CNC,76.83,0.04104266283,N/A
CNP,29.01,0.018311795476,N/A
COF,132.11,0.050313666917,N/A
COG,22.25,0.008892528027,N/A
COO,373.08,0.018477153365,N/A
COP,117.59,0.1396272999,N/A
COST,650.65,0.28871189387,N/A
COTY,12.22,0.010896220133,N/A
CPB,44.74,0.013398555837,N/A
CPRT,47.51,0.045619102,N/A
CRM,256.13,0.24793384,N/A
CSCO,50.51,0.205246156395,N/A
CSX,34.62,0.068413656432,N/A
CTAS,591.91,0.060288470985,N/A
CTL,11.0,0.01207294,N/A
CTSH,74.4,0.037305093422,N/A
CTVA,48.56,0.03422164024,N/A
CTXS,103.9,0.013183359916,N/A
CVS,80.85,0.104045588655,N/A
CVX,149.48,0.282180670444,N/A
CXO,65.6,0.012877584384,N/A
D,48.51,0.040593011361,N/A
DAL,40.45,0.026028095865,N/A
DD,77.51,0.033332593555,N/A
DE,400.91,0.112357209252,N/A
DFS,112.34,0.028091510665,N/A
DG,140.43,0.030823999379,N/A
DGX,140.82,0.015833096278,N/A
DHI,149.88,0.049909993687,N/A
DHR,234.79,0.173492695453,N/A
DIS,90.71,0.166027957194,N/A
DISCA,24.44,0.012449494875,N/A
DISCK,24.42,,N/A
DISH,5.77,0.003062174757,N/A
DLR,135.23,0.040954688131,N/A
DLTR,142.54,0.0310554659,N/A
DOV,151.52,0.021196154619,N/A
DOW,55.33,0.038808296342,N/A
DPZ,413.14,0.014410729317,N/A
DRE,48.2,0.018556648911,N/A
DRI,162.28,0.019524669029,N/A
DTE,111.76,0.02305147533,N/A
DUK,97.81,0.075383314116,N/A
DVA,106.89,0.009759057,N/A
DVN,45.84,0.029369688,N/A
DXC,22.83,0.004420882475,N/A
DXCM,123.09,0.047558767659,N/A
EA,135.78,0.036520264174,N/A
EBAY,43.87,0.02276853,N/A
ECL,198.2,0.056514712324,N/A
ED,92.41,0.031901759777,N/A
EFX,239.87,0.029556008059,N/A
EIX,72.34,0.027747360698,N/A
EL,145.45,0.051911105,N/A
EMN,89.38,0.010597251482,N/A
EMR,95.88,0.054661188,N/A
EOG,121.6,0.070910991603,N/A
EQIX,810.48,0.076090637484,N/A
EQR,62.15,0.023599904648,N/A
ES,63.74,0.022266052562,N/A
ESS,249.87,0.016037807001,N/A
ETFC,49.26,0.01089118896,N/A
ETN,238.9,0.09539277,N/A
ETR,102.64,0.021705596315,N/A
EVRG,53.43,0.012273980047,N/A
EW,75.57,0.045833205,N/A
EXC,36.47,0.036303602562,N/A
