Ticker,Price,Price-to-Earnings Ratio,Number of Shares to Buy
A,130.56,30.954465614516128,N/A
AAL,13.59,5.326803113013699,N/A
AAP,61.52,19.342935317637323,N/A
AAPL,181.09,29.16852534996649,N/A
ABBV,162.14,44.86384686631677,N/A
ABC,179.98,21.53784220618953,N/A
ABMD,381.02,,N/A
ABT,110.8,37.32424957870593,N/A
ACN,336.62,31.11179278692701,N/A
ADBE,564.55,50.41551747705526,N/A
ADI,186.535,27.85856376494873,N/A
ADM,70.81,9.720626122999748,N/A
ADP,235.21,27.51846162012369,N/A
ADSK,229.52,53.40184972628135,N/A
AEE,74.05,16.79712056843561,N/A
AEP,84.065,19.436561047721835,N/A
AES,18.8,-22.564106947232144,N/A
AFL,82.72,10.510154035118006,N/A
AIG,69.01,12.705967494749473,N/A
AIV,7.7,-5.228598195679679,N/A
AIZ,168.08,16.72690374266366,N/A
AJG,225.28,42.88762750615547,N/A
AKAM,114.32,30.694789891812626,N/A
ALB,135.83,4.799562361113744,N/A
ALGN,264.58,55.17243225189767,N/A
ALK,37.95,18.19935816359073,N/A
ALL,149.98,-18.629208534995207,N/A
ALLE,122.78,19.267251292084005,N/A
ALXN,182.5,,N/A
AMAT,148.97,18.09898329164965,N/A
AMCR,9.74,14.419501024157189,N/A
AMD,138.6,1046.230769230769,N/A
AME,160.74,28.995164787487127,N/A
AMGN,303.0,21.44461042104018,N/A
AMP,382.1,14.349945610056116,N/A
AMT,214.28,140.56458438287154,N/A
AMZN,145.17,74.40563782150605,N/A
ANET,230.92,37.73581116930261,N/A
ANSS,344.235,61.8245023862431,N/A
ANTM,482.58,18.63271831076233,N/A
AON,289.59,,N/A
AOS,79.04,32.58710200828877,N/A
APA,34.35,6.8483910065901625,N/A
APD,270.15,26.10713761912008,N/A
APH,94.46,29.47170743820207,N/A
APTV,83.48,10.569712577071972,N/A
ARE,126.51,91.53859058356038,N/A
ATO,117.98,20.03572049518818,N/A
ATVI,94.42,,N/A
AVB,182.67,28.14106326756216,N/A
AVGO,1049.28,34.87318124461653,N/A
AVY,196.09,32.639520461971834,N/A
AWK,131.89,27.885141744260864,N/A
AXP,189.06,17.277141379541423,N/A
AZO,2550.93,17.123435602986326,N/A
BA,249.0,-52.306041883932224,N/A
BAC,34.43,9.245269669334991,N/A
BAX,39.16,7.56092096939429,N/A
BBY,75.83,12.711300940438871,N/A
BDX,242.09,49.53811695926966,N/A
BEN,28.88,16.69347091054313,N/A
BF.B,55.09,34.55046661688462,N/A
BIIB,257.83,25.799754132822542,N/A
BIO,316.38,-60.05291880446535,N/A
BK,52.39,11.761100026104089,N/A
BKNG,3407.72,22.504955161754054,N/A
BKR,33.41,19.83241075414938,N/A
BLK,782.83,21.708106959236915,N/A
BLL,69.49,19.770577952535582,N/A
BMY,52.23,12.780783692659025,N/A
BR,196.35,34.55080797198629,N/A
BRK.B,365.59,10.300072920048953,N/A
BSX,58.16,71.67203375785535,N/A
BWA,34.99,11.10847351100551,N/A
BXP,70.36,58.91159395624948,N/A
C,54.33,8.367300718547037,N/A
CAG,28.21,12.700996985862323,N/A
CAH,105.72,166.77676999666667,N/A
CARR,55.72,38.82427373054212,N/A
CAT,288.93,15.982568305969496,N/A
CB,227.7,13.172742019232956,N/A
CBOE,173.13,25.929570970912952,N/A
CBRE,87.05,45.1640563146993,N/A
CCI,113.77,31.856011844072164,N/A
CCL,17.33,-11.614933564439657,N/A
CDNS,252.71,72.70615801185626,N/A
CDW,213.97,26.302899547672087,N/A
CE,150.13,8.034037091301133,N/A
CERN,94.92,,N/A
CF,81.14,7.343592842794884,N/A
CFG,33.37,7.715476852759857,N/A
CHD,93.87,53.266242700457454,N/A
CHRW,88.65,26.36048247534898,N/A
CHTR,372.16,11.838348687699682,N/A
CI,313.59,16.8940584442911,N/A
CINF,107.35,9.997826032277343,N/A
CL,79.98,41.682247818563326,N/A
CLX,141.29,205.4909129081395,N/A
CMA,56.51,6.2123488082463645,N/A
CMCSA,43.03,11.297949841184002,N/A
CME,199.18,24.23682122542424,N/A
CMG,2212.8,52.06868566411877,N/A
CMI,238.16,11.95379988717912,N/A
CMS,59.34,23.443735600081197,N/A
CNC,77.38,16.8762926391162,N/A
CNP,29.24,23.03134394579674,N/A
COF,132.42,9.683088846526257,N/A
COG,22.25,32.565847541592966,N/A
COO,366.15,61.60951357022434,N/A
COP,116.53,12.368921220189591,N/A
COST,655.84,44.14474735516342,N/A
COTY,11.52,27.96164082793478,N/A
CPB,43.61,16.37512116826415,N/A
CPRT,46.56,33.81384153063228,N/A
CRM,251.12,93.82728395061729,N/A
CSCO,50.095,14.98408525543627,N/A
CSX,34.61,17.835006377748893,N/A
CTAS,577.09,43.11190631958793,N/A
CTL,11.0,,N/A
CTSH,72.84,17.66345105798947,N/A
CTVA,47.33,35.95401972132905,N/A
CTXS,103.9,,N/A
CVS,81.42,12.047446955444189,N/A
CVX,150.4,11.169469970895022,N/A
CXO,65.6,-1.2569628486090776,N/A
D,49.04,24.44460870436364,N/A
DAL,40.54,7.418754874588236,N/A
DD,76.69,7.048609117430957,N/A
DE,395.96,10.817374865864648,N/A
DFS,111.85,7.86456504422748,N/A
DG,135.76,15.417237369951774,N/A
DGX,141.98,20.821954121633727,N/A
DHI,148.63,10.363218147752702,N/A
DHR,230.29,29.262721081092955,N/A
DIS,90.9,70.41351308655905,N/A
DISCA,24.44,16.339668132769233,N/A
DISCK,24.42,,N/A
DISH,5.77,,N/A
DLR,130.83,45.16195836868638,N/A
DLTR,136.25,25.49828152342729,N/A
DOV,147.49,20.22929402223318,N/A
DOW,54.82,29.259972097875288,N/A
DPZ,400.03,26.91009145519949,N/A
DRE,48.2,19.5796669285498,N/A
DRI,162.08,19.54966533760423,N/A
DTE,110.65,18.38530410912097,N/A
DUK,98.54,68.57036864563685,N/A
DVA,107.24,15.918988198163138,N/A
